Emp_ID,Name,Age,Salary (INR),Experience (Years),City,Department,Performance Rating
1046,Robert Cox,28,,20.2,Kolkata,Management,
1047,Justin Braun,40,inf,,Jaipur,HR,
1048,Angela Hernandez,58,401991.0,,Bangalore,Sales,2.9
1049,Tara Harper,40,inf,19.3,Kolkata,HR,
1050,Nicole Tyler,48,,,Jaipur,HR,3.3
1051,Christopher Ramirez,60,739679.0,14.9,Mumbai,Management,4.7
1052,Rachel Henry,47,967927.0,4.9,Jaipur,Sales,
1053,Thomas Smith,55,inf,24.5,Kochi,Sales,
1054,Michael Sharp,22,,13.8,Bangalore,HR,3.5
1055,Patrick Mckenzie,59,,5.5,Jaipur,Operations,
1056,Natasha Hill,31,inf,15.2,Bangalore,Finance,
1057,Megan Spencer,52,,11.6,Mumbai,Management,
1058,Tiffany Hancock,33,1167448.0,,Hyderabad,Marketing,5.0
1059,Danielle Russo,55,,9.9,Mumbai,Sales,
1060,Danielle Cook,52,723371.0,26.9,Kolkata,Finance,2.7
1061,Amanda Jones,60,inf,,Delhi,Management,4.8
1062,Eileen Walter,22,inf,,Pune,IT,
1063,Katrina Wilson,28,inf,14.9,Delhi,Finance,
1064,Crystal Torres,55,341229.0,,Kolkata,Management,3.6
1065,Tammy Lopez,57,868882.0,15.1,Hyderabad,HR,2.9
1066,Chelsea Allen,28,,,Kochi,Operations,
1067,Gregory Martinez,39,1022248.0,11.9,Pune,HR,
1068,Daisy Hansen,26,1131029.0,18.7,Pune,Management,
1069,Leah Moore,39,1017248.0,,Delhi,HR,3.5
1070,Joseph Buckley,44,1167438.0,,Bangalore,Management,4.8
1071,Joseph Allen,25,inf,10.8,Chennai,HR,4.5
1072,Christine Jackson,51,1036524.0,,Hyderabad,IT,
1073,Joseph Fuentes,29,747828.0,7.4,Jaipur,Management,
1074,Ruben Moore,45,,18.5,Delhi,Sales,3.7
1075,Mark Reeves,26,831579.0,,Pune,Sales,
1076,Charles Curtis,23,972791.0,,Pune,Sales,
1077,Chad Hoffman,25,,,Delhi,Operations,4.8
1078,Michele Meza,45,586218.0,29.5,Kochi,Finance,4.0
1079,Karen Rodriguez,32,,,Mumbai,Finance,4.7
1080,Sharon Marshall,57,813546.0,26.8,Kochi,HR,4.8
1081,Russell Acosta,42,,,Pune,Operations,
1082,Donna Perry,45,,,Chennai,Sales,
1083,Maria Goodwin,55,inf,16.0,Bangalore,Finance,4.1
1084,Matthew Prince,23,,,Mumbai,Operations,3.0
1085,Kenneth Johnson,47,inf,22.8,Kolkata,Operations,
1086,Tony Armstrong,49,1148987.0,27.7,Jaipur,IT,4.6
1087,Cynthia Webb,56,,26.0,Bangalore,IT,
1088,Frederick Taylor,25,,32.9,Delhi,Management,
1089,Joshua Richardson,49,447682.0,29.5,Chennai,Operations,4.1
1090,Earl Bright,33,inf,24.6,Kochi,Sales,
1091,Jacqueline Sims,45,,,Hyderabad,Operations,2.7
1092,Robert Hernandez,23,,14.4,Delhi,HR,
1093,Jennifer Guerrero,40,inf,15.0,Jaipur,Finance,3.2
1094,Charles Evans,56,,,Pune,Management,4.3
1095,William Little,42,453180.0,,Mumbai,IT,2.9
1096,Laura Raymond,47,,16.0,Kolkata,Management,
1097,Stacy Davis,49,440285.0,26.6,Hyderabad,IT,
1098,Connor Cunningham,46,inf,28.0,Kolkata,Marketing,
1099,Holly Stewart,34,,,Kolkata,Operations,
1100,Kevin Clements,37,inf,,Jaipur,IT,
